leg,cart_offset,length,dest,mode,above_16m
2p-stages,0x037b7800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x037c1000,0x4800,0x0de86be0,DMA,1
2p-stages,0x037c5800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x037cf000,0x9800,0x0de573e0,DMA,1
2p-stages,0x037d8800,0x9800,0x0de60be0,DMA,1
2p-stages,0x037e2000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x037eb800,0x9800,0x0de73be0,DMA,1
2p-stages,0x037f5000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x037fe800,0x4800,0x0de86be0,DMA,1
2p-stages,0x03803000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x0380c800,0x9800,0x0de573e0,DMA,1
2p-stages,0x03816000,0x9800,0x0de60be0,DMA,1
2p-stages,0x0381f800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x03829000,0x9800,0x0de73be0,DMA,1
2p-stages,0x03832800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x0383c000,0x4800,0x0de86be0,DMA,1
2p-stages,0x03840800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x0384a000,0x9800,0x0de573e0,DMA,1
2p-stages,0x03853800,0x9800,0x0de60be0,DMA,1
2p-stages,0x0385d000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x03866800,0x9800,0x0de73be0,DMA,1
2p-stages,0x03870000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x03879800,0x4800,0x0de86be0,DMA,1
2p-stages,0x0387e000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x03887800,0x9800,0x0de573e0,DMA,1
2p-stages,0x03891000,0x9800,0x0de60be0,DMA,1
2p-stages,0x0389a800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x038a4000,0x9800,0x0de73be0,DMA,1
2p-stages,0x038ad800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x038b7000,0x4800,0x0de86be0,DMA,1
2p-stages,0x038bb800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x038c5000,0x9800,0x0de573e0,DMA,1
2p-stages,0x038ce800,0x9800,0x0de60be0,DMA,1
2p-stages,0x038d8000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x038e1800,0x9800,0x0de73be0,DMA,1
2p-stages,0x038eb000,0x9800,0x0de7d3e0,DMA,1
char-karel,0x04146000,0x9000,0x0ddc2960,DMA,1
char-lili,0x04172000,0x2800,0x0ddc2960,DMA,1
char-lili,0x04174800,0x4000,0x0ddc2960,DMA,1
char-lili,0x04178800,0xc000,0x0ddc2960,DMA,1
char-lili,0x04184800,0x1000,0x0ddc2960,DMA,1
char-fabian,0x042e2800,0x1800,0x0dd7d020,DMA,1
char-mika,0x042f1000,0x2800,0x0dd7d020,DMA,1
char-mika,0x042f3800,0x7000,0x0dd7d020,DMA,1
char-mika,0x042fa800,0xa800,0x0dd7d020,DMA,1
char-mika,0x04305000,0xc800,0x0dd7d020,DMA,1
char-mika,0x04311800,0x3000,0x0dd89820,DMA,1
2p-stages,0x0433c000,0x9800,0x0dd5ba00,DMA,1
char-lili,0x04385800,0x8800,0x0ddc2960,DMA,1
char-lili,0x043d3000,0x5000,0x0ddc2960,DMA,1
2p-stages,0x043df800,0xc800,0x0de4dbe0,DMA,1
2p-stages,0x043ec000,0x31000,0x0de5a3e0,DMA,1
2p-stages,0x0441d000,0x9800,0x0de4dbe0,DMA,1
